"","Indice des prix à la consommation","Indice santé","IPC moyenne annuel","IPC moyenne annuel","IPC moyenne annuel","IPC moyenne annuel","IPC moyenne annuel","IPC moyenne annuel","IPC moyenne annuel","IPC moyenne annuel","IPC moyenne annuel","IPC moyenne annuel","IPC moyenne annuel","IPC moyenne annuel"
"01/2015","-0,65%","0,01%","","0,56%","","","","","","","","","",""
"02/2015","-0,40%","0,14%","","0,56%","","","","","","","","","",""
"03/2015","-0,40%","-0,06%","","0,56%","","","","","","","","","",""
"04/2015","0,29%","0,68%","","0,56%","","","","","","","","","",""
"05/2015","0,56%","0,87%","","0,56%","","","","","","","","","",""
"06/2015","0,63%","0,99%","","0,56%","","","","","","","","","",""
"07/2015","0,46%","0,91%","","0,56%","","","","","","","","","",""
"08/2015","0,91%","1,49%","","0,56%","","","","","","","","","",""
"09/2015","1,06%","1,79%","","0,56%","","","","","","","","","",""
"10/2015","1,28%","1,98%","","0,56%","","","","","","","","","",""
"11/2015","1,52%","1,99%","","0,56%","","","","","","","","","",""
"12/2015","1,50%","1,82%","","0,56%","","","","","","","","","",""
"01/2016","1,74%","1,80%","","","1,97%","","","","","","","","",""
"02/2016","1,39%","1,63%","","","1,97%","","","","","","","","",""
"03/2016","2,24%","2,72%","","","1,97%","","","","","","","","",""
"04/2016","2,04%","2,38%","","","1,97%","","","","","","","","",""
"05/2016","2,20%","2,58%","","","1,97%","","","","","","","","",""
"06/2016","2,16%","2,38%","","","1,97%","","","","","","","","",""
"07/2016","2,28%","2,53%","","","1,97%","","","","","","","","",""
"08/2016","2,16%","2,32%","","","1,97%","","","","","","","","",""
"09/2016","1,87%","1,80%","","","1,97%","","","","","","","","",""
"10/2016","1,81%","1,55%","","","1,97%","","","","","","","","",""
"11/2016","1,77%","1,65%","","","1,97%","","","","","","","","",""
"12/2016","2,03%","1,78%","","","1,97%","","","","","","","","",""
"01/2017","2,65%","2,18%","","","","2,13%","","","","","","","",""
"02/2017","2,97%","2,47%","","","","2,13%","","","","","","","",""
"03/2017","2,28%","1,79%","","","","2,13%","","","","","","","",""
"04/2017","2,28%","1,86%","","","","2,13%","","","","","","","",""
"05/2017","1,86%","1,59%","","","","2,13%","","","","","","","",""
"06/2017","1,60%","1,49%","","","","2,13%","","","","","","","",""
"07/2017","1,78%","1,64%","","","","2,13%","","","","","","","",""
"08/2017","1,90%","1,64%","","","","2,13%","","","","","","","",""
"09/2017","2,01%","1,77%","","","","2,13%","","","","","","","",""
"10/2017","2,00%","1,91%","","","","2,13%","","","","","","","",""
"11/2017","2,07%","1,81%","","","","2,13%","","","","","","","",""
"12/2017","2,13%","2,02%","","","","2,13%","","","","","","","",""
"01/2018","1,71%","1,64%","","","","","2,05%","","","","","","",""
"02/2018","1,48%","1,41%","","","","","2,05%","","","","","","",""
"03/2018","1,39%","1,32%","","","","","2,05%","","","","","","",""
"04/2018","1,52%","1,36%","","","","","2,05%","","","","","","",""
"05/2018","1,82%","1,49%","","","","","2,05%","","","","","","",""
"06/2018","2,08%","1,63%","","","","","2,05%","","","","","","",""
"07/2018","2,17%","1,71%","","","","","2,05%","","","","","","",""
"08/2018","2,24%","1,77%","","","","","2,05%","","","","","","",""
"09/2018","2,35%","1,91%","","","","","2,05%","","","","","","",""
"10/2018","2,75%","2,29%","","","","","2,05%","","","","","","",""
"11/2018","2,78%","2,48%","","","","","2,05%","","","","","","",""
"12/2018","2,34%","2,17%","","","","","2,05%","","","","","","",""
"01/2019","1,99%","2,00%","","","","","","1,44%","","","","","",""
"02/2019","2,17%","2,10%","","","","","","1,44%","","","","","",""
"03/2019","2,33%","2,18%","","","","","","1,44%","","","","","",""
"04/2019","2,08%","1,96%","","","","","","1,44%","","","","","",""
"05/2019","1,89%","1,78%","","","","","","1,44%","","","","","",""
"06/2019","1,73%","1,88%","","","","","","1,44%","","","","","",""
"07/2019","1,42%","1,52%","","","","","","1,44%","","","","","",""
"08/2019","1,26%","1,41%","","","","","","1,44%","","","","","",""
"09/2019","0,80%","0,99%","","","","","","1,44%","","","","","",""
"10/2019","0,48%","0,67%","","","","","","1,44%","","","","","",""
"11/2019","0,39%","0,48%","","","","","","1,44%","","","","","",""
"12/2019","0,76%","0,67%","","","","","","1,44%","","","","","",""
"01/2020","1,41%","1,12%","","","","","","","0,74%","","","","",""
"02/2020","1,10%","1,00%","","","","","","","0,74%","","","","",""
"03/2020","0,62%","0,84%","","","","","","","0,74%","","","","",""
"04/2020","0,57%","1,14%","","","","","","","0,74%","","","","",""
"05/2020","0,48%","1,11%","","","","","","","0,74%","","","","",""
"06/2020","0,60%","0,94%","","","","","","","0,74%","","","","",""
"07/2020","0,73%","1,00%","","","","","","","0,74%","","","","",""
"08/2020","0,82%","1,04%","","","","","","","0,74%","","","","",""
"09/2020","0,90%","1,11%","","","","","","","0,74%","","","","",""
"10/2020","0,74%","1,04%","","","","","","","0,74%","","","","",""
"11/2020","0,51%","0,83%","","","","","","","0,74%","","","","",""
"12/2020","0,41%","0,64%","","","","","","","0,74%","","","","",""
"01/2021","0,26%","0,57%","","","","","","","","2,44%","","","",""
"02/2021","0,46%","0,47%","","","","","","","","2,44%","","","",""
"03/2021","0,89%","0,55%","","","","","","","","2,44%","","","",""
"04/2021","1,23%","0,64%","","","","","","","","2,44%","","","",""
"05/2021","1,46%","0,81%","","","","","","","","2,44%","","","",""
"06/2021","1,63%","1,14%","","","","","","","","2,44%","","","",""
"07/2021","2,27%","1,83%","","","","","","","","2,44%","","","",""
"08/2021","2,73%","2,30%","","","","","","","","2,44%","","","",""
"09/2021","2,86%","2,29%","","","","","","","","2,44%","","","",""
"10/2021","4,16%","3,48%","","","","","","","","2,44%","","","",""
"11/2021","5,64%","4,81%","","","","","","","","2,44%","","","",""
"12/2021","5,71%","5,21%","","","","","","","","2,44%","","","",""
"01/2022","7,59%","7,12%","","","","","","","","","9,59%","","",""
"02/2022","8,04%","7,56%","","","","","","","","","9,59%","","",""
"03/2022","8,31%","7,68%","","","","","","","","","9,59%","","",""
"04/2022","8,31%","7,81%","","","","","","","","","9,59%","","",""
"05/2022","8,97%","8,34%","","","","","","","","","9,59%","","",""
"06/2022","9,65%","8,72%","","","","","","","","","9,59%","","",""
"07/2022","9,62%","9,07%","","","","","","","","","9,59%","","",""
"08/2022","9,94%","9,70%","","","","","","","","","9,59%","","",""
"09/2022","11,27%","11,25%","","","","","","","","","9,59%","","",""
"10/2022","12,27%","12,27%","","","","","","","","","9,59%","","",""
"11/2022","10,63%","10,63%","","","","","","","","","9,59%","","",""
"12/2022","10,35%","10,63%","","","","","","","","","9,59%","","",""
"01/2023","8,05%","8,28%","","","","","","","","","","4,12%","",""
"02/2023","6,62%","6,84%","","","","","","","","","","4,12%","",""
"03/2023","6,67%","7,35%","","","","","","","","","","4,12%","",""
"04/2023","5,60%","5,95%","","","","","","","","","","4,12%","",""
"05/2023","5,20%","5,90%","","","","","","","","","","4,12%","",""
"06/2023","4,15%","5,02%","","","","","","","","","","4,12%","",""
"07/2023","4,14%","4,80%","","","","","","","","","","4,12%","",""
"08/2023","4,09%","4,16%","","","","","","","","","","4,12%","",""
"09/2023","2,39%","2,08%","","","","","","","","","","4,12%","",""
"10/2023","0,36%","0,30%","","","","","","","","","","4,12%","",""
"11/2023","0,76%","0,87%","","","","","","","","","","4,12%","",""
"12/2023","1,35%","1,28%","","","","","","","","","","4,12%","",""
"01/2024","1,75%","1,71%","","","","","","","","","","","3,14%",""
"02/2024","3,20%","3,22%","","","","","","","","","","","3,14%",""
"03/2024","3,18%","3,09%","","","","","","","","","","","3,14%",""
"04/2024","3,37%","3,28%","","","","","","","","","","","3,14%",""
"05/2024","3,36%","3,20%","","","","","","","","","","","3,14%",""
"06/2024","3,74%","3,80%","","","","","","","","","","","3,14%",""
"07/2024","3,64%","3,60%","","","","","","","","","","","3,14%",""
"08/2024","2,86%","3,20%","","","","","","","","","","","3,14%",""
"09/2024","3,06%","3,83%","","","","","","","","","","","3,14%",""
"10/2024","3,20%","3,63%","","","","","","","","","","","3,14%",""
"11/2024","3,20%","3,63%","","","","","","","","","","","3,14%",""
"12/2024","3,16%","3,24%","","","","","","","","","","","3,14%",""
"01/2025","4,08%","4,09%","","","","","","","","","","","","2,64%"
"02/2025","3,55%","3,70%","","","","","","","","","","","","2,64%"
"03/2025","2,91%","3,16%","","","","","","","","","","","","2,64%"
"04/2025","2,55%","3,00%","","","","","","","","","","","","2,64%"
"05/2025","2,01%","2,37%","","","","","","","","","","","","2,64%"
"06/2025","2,15%","2,37%","","","","","","","","","","","","2,64%"
"07/2025","1,92%","2,08%","","","","","","","","","","","","2,64%"
"08/2025","1,91%","2,03%","","","","","","","","","","","","2,64%"
